/192.168.1.106,/198.178.121.55,58129,80,00:22:fb:97:56:f6,a0:f3:c1:7a:f4:51,Sat Aug 24 10:16:27 NPT 2013
/192.168.1.106,/198.178.121.55,58130,80,00:22:fb:97:56:f6,a0:f3:c1:7a:f4:51,Sat Aug 24 10:16:27 NPT 2013
/198.178.121.55,/192.168.1.106,80,58127,a0:f3:c1:7a:f4:51,00:22:fb:97:56:f6,Sat Aug 24 10:16:27 NPT 2013
/192.168.1.106,/198.178.121.55,58127,80,00:22:fb:97:56:f6,a0:f3:c1:7a:f4:51,Sat Aug 24 10:16:27 NPT 2013
/192.168.1.106,/198.178.121.55,58127,80,00:22:fb:97:56:f6,a0:f3:c1:7a:f4:51,Sat Aug 24 10:16:27 NPT 2013
/192.168.1.106,/198.178.121.55,58132,80,00:22:fb:97:56:f6,a0:f3:c1:7a:f4:51,Sat Aug 24 10:16:28 NPT 2013
/198.178.121.55,/192.168.1.106,80,58129,a0:f3:c1:7a:f4:51,00:22:fb:97:56:f6,Sat Aug 24 10:16:28 NPT 2013
/192.168.1.106,/198.178.121.55,58129,80,00:22:fb:97:56:f6,a0:f3:c1:7a:f4:51,Sat Aug 24 10:16:28 NPT 2013
/198.178.121.55,/192.168.1.106,80,58130,a0:f3:c1:7a:f4:51,00:22:fb:97:56:f6,Sat Aug 24 10:16:28 NPT 2013
/192.168.1.106,/198.178.121.55,58130,80,00:22:fb:97:56:f6,a0:f3:c1:7a:f4:51,Sat Aug 24 10:16:28 NPT 2013
/198.178.121.55,/192.168.1.106,80,58127,a0:f3:c1:7a:f4:51,00:22:fb:97:56:f6,Sat Aug 24 10:16:28 NPT 2013
/198.178.121.55,/192.168.1.106,80,58132,a0:f3:c1:7a:f4:51,00:22:fb:97:56:f6,Sat Aug 24 10:16:28 NPT 2013
/192.168.1.106,/198.178.121.55,58132,80,00:22:fb:97:56:f6,a0:f3:c1:7a:f4:51,Sat Aug 24 10:16:28 NPT 2013
/198.178.121.55,/192.168.1.106,80,58127,a0:f3:c1:7a:f4:51,00:22:fb:97:56:f6,Sat Aug 24 10:16:28 NPT 2013
